metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental/micro,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.639612595240275,0.9166666467984518,0.7526501019795736,0.001969685495909274,0.07264831481406209,0.024309339752829864
test_pretraining/macro_types,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.802716871102651,0.8833460013071696,0.8410897056261698,0.0002645852419494422,0.008546867001312826,0.0037700460572318915
test/macro_types,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.802716871102651,0.8833460013071696,0.8410897056261698,0.0002645852419494422,0.008546867001312826,0.0037700460572318915
test_incremental_CONTACT_INFO/macro_types,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.6363636255264282,0.9333333373069764,0.7567567229270935,0.0,0.0,0.0
test_incremental_only/micro,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.6432670553525289,0.899999996026357,0.746684710184733,0.004497605144758576,0.14529661595388085,0.05133992723510218
test/micro,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7845074733098348,0.8700361053148905,0.8250583012898763,0.0007444751016541983,0.0031472228205866554,0.0010110348231328816
test_pretraining/micro,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.7845074733098348,0.8700361053148905,0.8250583012898763,0.0007444751016541983,0.0031472228205866554,0.0010110348231328816
test_incremental/macro_types,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.6398153503735861,0.9166666865348816,0.7527775367101034,0.002248786108769143,0.07264830113982217,0.024041312289601737
test_incremental/macro_example,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.02764687252541383,0.025918944428364437,0.026747530326247215,0.0010883131410411077,0.002054146113977497,0.0016078156583826404
test/macro_example,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.815504233042399,0.8599853515625,0.8371538718541464,0.0005441345248476402,0.0017302928278728968,0.0009757615858277922
test_incremental/macro_example_exclusive,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.9777777989705404,0.9222222566604614,0.9490431745847067,0.03848998123903342,0.06309898966677806,0.05155915436764275
test_pretraining/macro_example,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.815504233042399,0.8599853515625,0.8371538718541464,0.0005441345248476402,0.0017302928278728968,0.0009757615858277922
test_incremental_only/macro_example_exclusive,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.9111111362775167,0.9111111362775167,0.9111111362775167,0.12619794522222932,0.12619794522222932,0.12619794522222932
test_incremental_only/macro_types,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.6214337746302286,0.9111110965410868,0.7364062666893005,0.009096408141563305,0.12619796621381477,0.04320077496204766
test_incremental_only/macro_example,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.02576185887058576,0.02576185887058576,0.02576185887058576,0.0035682739967690075,0.0035682739967690075,0.0035682739967690075
test_incremental_CONTACT_INFO-url/macro_types,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.6214337746302286,0.9111110965410868,0.7364062666893005,0.009096408141563305,0.12619796621381477,0.04320077496204766
test_incremental/micro,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.6288729508717855,0.9222222169240316,0.7471913894017538,0.004882875044216164,0.06309895555545132,0.020620597082314715
test_pretraining/macro_types,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.8014325698216757,0.8839996059735616,0.8406834801038107,0.0005350673284012035,0.007423398664103415,0.0033335031047255007
test/macro_types,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.8014325698216757,0.8839996059735616,0.8406834801038107,0.0005350673284012035,0.007423398664103415,0.0033335031047255007
test_incremental_CONTACT_INFO/macro_types,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.6363636255264282,0.9333333373069764,0.7567567229270935,0.0,0.0,0.0
test_incremental_only/micro,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.6214337746302286,0.9111110965410868,0.7364062666893005,0.009096408141563305,0.12619796621381477,0.04320077496204766
test/micro,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7837037642796835,0.8702767888704935,0.8247222900390625,0.0007839103637349659,0.002733516379691588,0.0008622134051350562
test_pretraining/micro,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.7837037642796835,0.8702767888704935,0.8247222900390625,0.0007839103637349659,0.002733516379691588,0.0008622134051350562
test_incremental/macro_types,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.6288987199465433,0.9222222367922465,0.7472266554832458,0.0045482037631162184,0.06309897654704062,0.021006693664295816
test_incremental/macro_example,no_init_kenn_top_down_adapter_bert_ms,CONTACT_INFO,10,0.02764687252541383,0.02607602874437968,0.0268343947827816,0.0010883131410411077,0.001784136998384503,0.0014578474198196
test/macro_example,smart_init_box_adapter_bert_ms,CONTACT_INFO,10,0.8284898797671,0.8522881865501404,0.8402194182078043,0.00037116459041973155,0.002708666288904012,0.0014810327536192369
test_incremental/macro_example_exclusive,smart_init_box_adapter_bert_ms,CONTACT_INFO,10,0.9333333969116212,0.838888943195343,0.8809578021367391,0.0,0.11097215331124287,0.06319023802795626
